practicetext,practicecorrect,n,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,fixcross1.started_mean,fixcross1.started_raw,fixcross1.started_std,fixcross1.stopped_mean,fixcross1.stopped_raw,fixcross1.stopped_std,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,scaretone.started_raw,scaretone.stopped_raw,order
A circle is a shape,f,1.0,31.004606246948242,31.004606246948242,0.0,,30.52301597595215,30.52301597595215,0.0,30.98817253112793,30.98817253112793,0.0,1.0,1.0,0.0,'f',0.49738383293151855,0.49738383293151855,0.0,31.004606246948242,31.004606246948242,0.0,,,,0.0
Dinosaurs are extinct,f,1.0,34.62236404418945,34.62236404418945,0.0,,34.138614654541016,34.138614654541016,0.0,34.5887451171875,34.5887451171875,0.0,1.0,1.0,0.0,'f',0.28151029348373413,0.28151029348373413,0.0,34.62236404418945,34.62236404418945,0.0,,,,4.0
Magenta is a color,f,1.0,38.222076416015625,38.222076416015625,0.0,,37.75519943237305,37.75519943237305,0.0,38.20594024658203,38.20594024658203,0.0,1.0,1.0,0.0,'f',0.26331689953804016,0.26331689953804016,0.0,38.222076416015625,38.222076416015625,0.0,,,,8.0
A clock is used to tell time,f,1.0,32.02238845825195,32.02238845825195,0.0,,31.537944793701172,31.537944793701172,0.0,31.988935470581055,31.988935470581055,0.0,1.0,1.0,0.0,'f',0.4543716311454773,0.4543716311454773,0.0,32.02238845825195,32.02238845825195,0.0,,,,1.0
Humans cannot breathe water,f,1.0,33.822105407714844,33.822105407714844,0.0,,33.33895492553711,33.33895492553711,0.0,33.78925323486328,33.78925323486328,0.0,1.0,1.0,0.0,'f',0.2725796699523926,0.2725796699523926,0.0,33.822105407714844,33.822105407714844,0.0,,,,3.0
A truck is an animal,j,1.0,38.98841857910156,38.98841857910156,0.0,,38.522865295410156,38.522865295410156,0.0,38.98841857910156,38.98841857910156,0.0,0.0,0.0,0.0,'f',0.2519482374191284,0.2519482374191284,0.0,38.98841857910156,38.98841857910156,0.0,,,,9.0
Jupiter is the planet we live on,j,1.0,37.438995361328125,37.438995361328125,0.0,,36.955318450927734,36.955318450927734,0.0,37.40584182739258,37.40584182739258,0.0,0.0,0.0,0.0,'f',0.27345722913742065,0.27345722913742065,0.0,37.438995361328125,37.438995361328125,0.0,,,,7.0
The Earth is a star,j,1.0,36.488746643066406,36.488746643066406,0.0,,36.00597381591797,36.00597381591797,0.0,36.45596694946289,36.45596694946289,0.0,0.0,0.0,0.0,'f',0.4228978157043457,0.4228978157043457,0.0,36.488746643066406,36.488746643066406,0.0,,,,6.0
Mississippi is a country,j,1.0,35.40544128417969,35.40544128417969,0.0,,34.92229080200195,34.92229080200195,0.0,35.372257232666016,35.372257232666016,0.0,0.0,0.0,0.0,'f',0.5691003203392029,0.5691003203392029,0.0,35.40544128417969,35.40544128417969,0.0,,,,5.0
Humans cannot eat food,j,1.0,32.98933029174805,32.98933029174805,0.0,,32.507511138916016,32.507511138916016,0.0,32.97222900390625,32.97222900390625,0.0,0.0,0.0,0.0,'f',0.3165428638458252,0.3165428638458252,0.0,32.98933029174805,32.98933029174805,0.0,,,,2.0

extraInfo
participant,0
session,001
date,2022_Feb_08_1630
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.912867996813446
